"Report Written:","Monday, April 03, 2017"
"Design Path:","C:\Users\David\Documents\EV\LyteFyba\trunk\PCB\MidCMU.pcb"
"Design Title:",
"Created:","2/03/2012 9:46:00 AM"
"Last Saved:","3/04/2017 6:15:34 PM"
"Editing Time:","177327 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","THD-DNP","Component","Description","Value","Package","Manufacturer","MPN","Digikey","Mouser"
"F1","1","","FUSE IEC","","1.25A","2410","Bell Fuse Inc","SSQ 1.25","http://www.digikey.com.au/product-detail/en/SSQ%201.25/507-1046-1-ND/615027","http://au.mouser.com/ProductDetail/Bel-Fuse/SSQ-125-1K/?qs=sGAEpiMZZMtxU2g%2f1juGqUe1nfAlZffAGKJdyyU3IpdlJiUpwgLymg%3d%3d"
"U3","1","DNP","IR RECEIVER","","TSDP34156","MISC","","","http://www.digikey.com.au/product-search/en?vendor=0&keywords=tsdp34156&stock=1","http://au.mouser.com/ProductDetail/Vishay/TSDP34156/?qs=%2fha2pyFadui%252buA3gMXjhndsEzFdkLfphPvorWFmte279cEa7eB7mwA%3d%3d"
"D9","1","","LED","","LB Q39G-L2OO-35-1","LED M1608","Osram","LB Q39G-L2OO-35-1","http://www.digikey.com.au/product-detail/en/osram-opto-semiconductors-inc/LB-Q39G-L2OO-35-1/475-2816-1-ND/2176355","http://au.mouser.com/ProductDetail/Osram-Opto-Semiconductor/LB-Q39G-L2OO-35-1/?qs=%2fha2pyFadugdwYCal9BdM9SWhVbJU5uqsKvsYGbR4IvEO9KLCpls7BBaJhTRZMg6"
"D4","1","DNP","LED","","LTE-302","LED side view thru hole","","","http://www.digikey.com.au/product-detail/en/LTE-302/160-1063-ND/153264","http://au.mouser.com/ProductDetail/Lite-On/LTE-302/?qs=sGAEpiMZZMvAL21a%2fDhxMruAAWCwpFVqTu8%2frdMoXUs%3d"
"D8","1","","LED","","SML-D12M1WT86","LED M1608","Rohm","SML-D12M1WT86","http://www.digikey.com.au/product-detail/en/rohm-semiconductor/SML-D12M1WT86/SML-D12M1WT86CT-ND/5843861","http://au.mouser.com/ProductDetail/ROHM-Semiconductor/SML-D12M1WT86/?qs=%2fha2pyFadugz3Ke%2fIfJOSrRGxtHq9SNj60K6Dpk00rwhF%2fWjmMD9uQ%3d%3d"
"D16","1","","LED","","SML-D12U1WT86","LED M1608","Rohm","SML-D12U1WT86","http://www.digikey.com.au/product-detail/en/rohm-semiconductor/SML-D12U1WT86/SML-D12U1WT86CT-ND/5843858","http://au.mouser.com/ProductDetail/ROHM-Semiconductor/SML-D12U1WT86/?qs=%2fha2pyFaduhylxbjScR1t2EsCe8V%2fOsfsIP3Drgm910tiPggUe3s6g%3d%3d"
"D2","1","","LED","","SML-D12Y1WT86","LED M1608","Rohm","SML-D12Y1WT86","http://www.digikey.com.au/product-detail/en/rohm-semiconductor/SML-D12Y1WT86/SML-D12Y1WT86CT-ND/5843860","http://au.mouser.com/ProductDetail/ROHM-Semiconductor/SML-D12Y1WT86/?qs=%2fha2pyFaduif59DyNJ9ePaq3ZgpIR7r2Xbm1tPULfhUoWHaEo6LnsA%3d%3d"
"U1","1","","MSP430G2553IPW20","MSP430 Ultra-Low Power Microcontroller","MSP430G2553IPW20","IPW20","Texas Instruments","MSP430G2553IPW20R","http://www.digikey.com.au/product-detail/en/MSP430G2553IPW20R/296-28430-1-ND/2638889","http://au.mouser.com/ProductDetail/Texas-Instruments/MSP430G2553IPW20R/?qs=sGAEpiMZZMsp%252bcahb6g%252bW9qKKK%2ffhYdNB3Ok9ZBfyps%3d"
"Q1","1","","NMOS SMD","MOSFET","RTR030N05TL","SMD","Alpha & Omega","AO3422","https://www.digikey.com.au/product-detail/en/rohm-semiconductor/RTR030N05TL/RTR030N05TLCT-ND/2000247","http://au.mouser.com/ProductDetail/ROHM-Semiconductor/RTR030N05TL/?qs=sGAEpiMZZMshyDBzk1%2fWizxjlSZEvHaIpH4XXmydKCE%3d"
"OP1","1","","OPTO","","TLP293(GR-TPL,E","SM","Toshiba","TLP293(GR-TPL,E","http://www.digikey.com.au/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GR-TPL,E/TLP293(GR-TPLECT-ND/4562968","http://au.mouser.com/ProductDetail/Broadcom-Avago/ACPL-217-50BE/?qs=sGAEpiMZZMteimceiIVCB%2fJ9TAvgcT%2f5LXxvmaVZ1GY%3d"
